Dist,Vel,Heading,Last
0.0,0.0,-40.02240688380183,false,
0.0,0.0,-40.426586339107295,false,
0.0,0.0,-40.828464486382295,false,
0.0,0.0,-41.228021721040676,false,
0.0,0.0,-41.62523956706175,false,
0.0,0.0,-42.02010066359504,false,
0.0,0.0,-42.41258875054673,false,
0.0,0.0,-42.80268865341089,false,
0.0,0.0,-43.19038626732918,false,
0.0,0.0,-43.575668540510456,false,
0.0,0.0,-43.95852345694091,false,
0.0,0.0,-44.33894001851047,false,
0.0,0.0,-44.71690822658827,false,
0.0,0.0,-45.09241906315897,false,
0.0,0.0,-45.4654644714527,false,
0.0,0.0,-45.83603733616163,false,
0.0,0.0,-46.20413146339427,false,
0.0,0.0,-46.56974156022523,false,
0.0,0.0,-46.93286321405471,false,
0.0,0.0,-47.29349287171708,false,
0.0,0.0,-47.651627818375445,false,
0.0,0.0,-48.00726615634723,false,
0.0,0.0,-48.36040678382652,false,
0.0,0.0,-48.7110493734176,false,
0.0,0.0,-49.05919435080267,false,
0.0,0.0,-49.40484287330779,false,
0.0,0.0,-49.74799680854646,false,
0.0,0.0,-50.088658713114924,false,
0.0,0.0,-50.426831811314415,false,
0.0,0.0,-50.76251997412869,false,
0.0,0.0,-51.09572769825693,false,
0.0,0.0,-51.42646008528069,false,
0.0,0.0,-51.75472282109019,false,
0.0,0.0,-52.08052215549078,false,
0.0,0.0,-52.40386488206691,false,
0.0,0.0,-52.72475831821517,false,
0.0,0.0,-53.04321028551259,false,
0.0,0.0,-53.35922909035873,false,
0.0,0.0,-53.67282350486348,false,
0.0,0.0,-53.98400274809406,false,
0.0,0.0,-54.29277646755832,false,
0.0,0.0,-54.59915472110446,false,
0.0,0.0,-54.90314795911891,false,
0.0,0.0,-55.20476700701518,false,
0.0,0.0,-55.50402304814678,false,
0.0,0.0,-55.80092760703212,false,
0.0,0.0,-56.095492532962496,false,
0.0,0.0,-56.38772998393611,false,
0.0,0.0,-56.67765241098774,false,
0.0,0.0,-56.96527254288027,false,
0.0,0.0,-57.25060337119956,false,
0.0,0.0,-57.53365813572358,false,
0.0,0.0,-57.81445031027917,false,
0.0,0.0,-58.092993588879764,false,
0.0,0.0,-58.36930187231402,false,
0.0,0.0,-58.64338925500762,false,
0.0,0.0,-58.91527001233554,false,
0.0,0.0,-59.184958588240434,false,
0.0,0.0,-59.45246958327649,false,
0.0,0.0,-59.717817742921554,false,
0.0,0.0,-59.98101794630344,false,
0.0,0.0,-60.24208519526948,false,
0.0,0.0,-60.50103460380977,false,
0.0,0.0,-60.757881387766346,false,
0.0,0.0,-61.01264085494065,false,
0.0,0.0,-61.26532839548558,false,
0.0,0.0,-61.515959472668776,false,
0.0,0.0,-61.7645496139001,false,
0.0,0.0,-62.0111144021098,false,
0.0,0.0,-62.255669467426756,false,
0.0,0.0,-62.49823047913437,false,
0.0,0.0,-62.73881313797245,false,
0.0,0.0,-62.97743316866422,false,
0.0,0.0,-63.2141063127629,false,
0.0,0.0,-63.44884832179147,false,
0.0,0.0,-63.68167495060506,false,
0.0,0.0,-63.912601951035654,false,
0.0,0.0,-64.14164506582384,false,
0.0,0.0,-64.36882002276133,false,
0.0,0.0,-64.5941425290768,false,
0.0,0.0,-64.8176282661039,false,
0.0,0.0,-65.03929288412918,false,
0.0,0.0,-65.25915199750013,false,
0.0,0.0,-65.47722117992376,false,
0.0,0.0,-65.69351596001633,false,
0.0,0.0,-65.90805181701745,false,
0.0,0.0,-66.12084417672973,false,
0.0,0.0,-66.33190840766109,false,
0.0,0.0,-66.54125981731723,false,
0.0,0.0,-66.74891364873886,false,
0.0,0.0,-66.95488507714201,false,
0.0,0.0,-67.15918920679768,false,
0.0,0.0,-67.36184106805258,false,
0.0,0.0,-67.56285561447413,false,
0.0,0.0,-67.76224772023028,false,
0.0,0.0,-67.96003217754333,false,
0.0,0.0,-68.15622369433547,false,
0.0,0.0,-68.35083689200634,false,
0.0,0.0,-68.5438863033245,false,
0.0,0.0,-68.73538637048645,false,
0.0,0.0,-68.92535144327223,false,
0.0,0.0,-69.11379577734007,false,
0.0,0.0,-69.30073353262999,false,
0.0,0.0,-69.48617877188317,false,
0.0,0.0,-69.67014545927611,false,
0.0,0.0,-69.85264745915606,false,
0.0,0.0,-70.03369853486527,false,
